MPSecID,Symbol,SecuritySubType,MaturityDate,MaturityDateBack,EntryType,EntryPrice,EntrySize,ReferenceID,EntryRate,TransactTime,NetChangePx,EntryLegPriceNear
10518712180316000000,GDXJ1D,B,20180316,00000000,4,31.456200,132.00,310118058000020,0.000000,2018-02-27 15:54:34.540000,-1.033800,0
10273011180615000000,EXC1D,S,20180615,00000000,4,38.390000,1.00,300118058000037,0.021807,2018-02-27 15:54:48.111000,0.230000,0
10411811180615000000,WM1D,S,20180615,00000000,4,87.390000,1.00,300318058000028,0.022613,2018-02-27 15:55:58.003000,0.460000,0
10418112180316000000,XRT1D,B,20180316,00000000,4,46.815000,5.00,310118058000022,0.000000,2018-02-27 16:00:33.343000,0.705000,0
10285811180316000000,AMGN1D,S,20180316,00000000,4,186.963400,1.00,300218058000024,-0.013046,2018-02-27 16:14:12.513000,-1.646600,0
10286711180615000000,ETR1D,S,20180615,00000000,4,77.830000,1.00,300318058000029,0.030633,2018-02-27 16:19:26.883000,0.580000,0
10280011180615000000,UNP1D,S,20180615,00000000,4,138.197700,10.00,300218058000025,0.020779,2018-02-27 16:19:39.571000,-1.082300,0
10273111180615000000,GE1D,S,20180615,00000000,4,14.750000,1.00,300318058000030,0.022713,2018-02-27 16:22:32.489000,0.040000,0
10457711180316000000,FB1D,S,20180316,00000000,4,183.298600,2.00,300218058000026,0.025019,2018-02-27 16:39:40.662000,-1.741400,0
10601211180420000000,BABA1D,S,20180420,00000000,4,189.847000,1.00,300318058000031,0.035321,2018-02-27 16:39:59.590000,-4.673000,0
10601211180420000000,BABA1D,S,20180420,00000000,4,189.847000,1.00,300318058000032,0.036423,2018-02-27 16:41:11.407000,-4.673000,0
10601211180420000000,BABA1D,S,20180420,00000000,4,189.847000,1.00,300318058000033,0.036056,2018-02-27 16:41:12.864000,-4.673000,0
10601211180420000000,BABA1D,S,20180420,00000000,4,189.847000,1.00,300318058000034,0.036056,2018-02-27 16:41:12.953000,-4.673000,0
10601211180420000000,BABA1D,S,20180420,00000000,4,189.847000,1.00,300318058000035,0.036056,2018-02-27 16:41:34.129000,-4.673000,0
11948511180615000000,DHR1D,S,20180615,00000000,4,101.250000,1.00,300318058000036,0.019838,2018-02-27 16:44:27.775000,0.030000,0
10285711180316000000,AAPL1D,S,20180316,00000000,4,179.144800,1.00,300118058000038,0.011097,2018-02-27 16:45:18.296000,0.074800,0
10457711180316000000,FB1D,S,20180316,00000000,4,183.355100,1.00,300218058000027,0.018889,2018-02-27 16:46:06.286000,-1.684900,0
10332912180316000000,ABC1D,B,20180316,00000000,4,93.365100,48.00,310118058000024,0.000000,2018-02-27 16:46:21.185000,-7.274900,0
10518711180316000000,GDXJ1D,S,20180316,00000000,4,31.266400,10.00,300118058000039,-0.109108,2018-02-27 16:48:46.921000,-1.223600,0
10314411180316000000,GDX1D,S,20180316,00000000,4,21.378300,10.00,300218058000028,-0.040808,2018-02-27 16:49:01.549000,-0.811700,0
10281712180316000000,COF1D,B,20180316,00000000,4,100.465200,22.00,310118058000026,0.000000,2018-02-27 17:22:50.415000,-0.344800,0
10582212180316000000,IP1D,B,20180316,00000000,4,60.638300,8.00,310118058000028,0.000000,2018-02-27 17:22:50.618000,0.028300,0
10396212180316000000,IWF1D,B,20180316,00000000,4,142.335600,19.00,310118058000030,0.000000,2018-02-27 17:22:52.513000,-1.064400,0
10284712180316000000,UNH1D,B,20180316,00000000,4,234.559500,10.00,310118058000032,0.000000,2018-02-27 17:22:55.409000,0.359500,0
10375312180316000000,SCHW1D,B,20180316,00000000,4,54.786000,38.00,310118058000034,0.000000,2018-02-27 17:22:55.654000,1.026000,0
10274012180316000000,MMM1D,B,20180316,00000000,4,242.223900,9.00,310118058000036,0.000000,2018-02-27 17:22:55.751000,-2.036100,0
10298612180316000000,XLI1D,B,20180316,00000000,4,78.497800,6.00,310118058000038,0.000000,2018-02-27 17:22:56.611000,-0.282200,0
10281712180316000000,COF1D,B,20180316,00000000,4,100.465200,24.00,310118058000040,0.000000,2018-02-27 17:22:57.145000,-0.344800,0
10396212180316000000,IWF1D,B,20180316,00000000,4,142.335600,24.00,310118058000042,0.000000,2018-02-27 17:22:57.578000,-1.064400,0
10284712180316000000,UNH1D,B,20180316,00000000,4,234.574800,23.00,310118058000044,0.000000,2018-02-27 17:23:00.424000,0.374800,0
10351712180316000000,IWD1D,B,20180316,00000000,4,125.261600,22.00,310118058000046,0.000000,2018-02-27 17:23:15.637000,-0.698400,0
10274012180316000000,MMM1D,B,20180316,00000000,4,242.276500,13.00,310118058000048,0.000000,2018-02-27 17:23:20.841000,-1.983500,0
